Sales Person,Country,Product,Date,Amount,Boxes Shipped
Brien Boise,New Zealand,Baker's Choco Chips,12-Jul-22,3493,100
Ches Bonnell,Canada,Spicy Special Slims,5-Aug-22,3500,100
Brien Boise,USA,Orange Choco,28-Jan-22,3507,100
Kaine Padly,India,Spicy Special Slims,31-Aug-22,3507,100
Mallorie Waber,USA,50% Dark Bites,19-Apr-22,3528,101
Mallorie Waber,UK,Mint Chip Choco,29-Jun-22,3549,101
Beverie Moffet,India,Choco Coated Almonds,24-Feb-22,3549,101
Madelene Upcott,UK,Smooth Sliky Salty,4-Mar-22,3549,101
Gigi Bohling,India,Eclairs,21-Jun-22,3556,101
Rafaelita Blaksland,Australia,Organic Choco Syrup,26-Jan-22,3563,101
Oby Sorrel,New Zealand,White Choc,10-Jun-22,3577,101
Andria Kimpton,UK,Drinking Coco,23-May-22,3577,102
Kelci Walkden,India,Milk Bars,15-Apr-22,3577,102
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,31-Jan-22,3577,102
Andria Kimpton,New Zealand,Organic Choco Syrup,4-Mar-22,3584,102
Barr Faughny,New Zealand,After Nines,19-Apr-22,3605,102
Beverie Moffet,UK,Almond Choco,16-May-22,3605,102
Oby Sorrel,Australia,Raspberry Choco,17-Feb-22,3612,102
Dennison Crosswaite,USA,Raspberry Choco,18-Jan-22,3619,103
Roddy Speechley,Canada,Orange Choco,9-Feb-22,3626,103
Mallorie Waber,Canada,Orange Choco,23-Mar-22,3640,103
Madelene Upcott,New Zealand,Caramel Stuffed Bars,1-Feb-22,3640,103
Mallorie Waber,India,Drinking Coco,7-Mar-22,3647,103
Ches Bonnell,UK,White Choc,3-Jan-22,3647,104
Ches Bonnell,USA,White Choc,11-Feb-22,3654,104
Dennison Crosswaite,New Zealand,Orange Choco,16-Mar-22,3696,104
Dotty Strutley,India,White Choc,15-Aug-22,3703,105
Gigi Bohling,India,Manuka Honey Choco,12-May-22,3710,105
Van Tuxwell,India,Spicy Special Slims,11-Apr-22,3724,105
Jan Morforth,New Zealand,Mint Chip Choco,30-Jun-22,3724,106
Dotty Strutley,New Zealand,White Choc,15-Jun-22,3738,106
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,1-Aug-22,3745,106
Kaine Padly,USA,Milk Bars,15-Jun-22,3752,106
Brien Boise,India,After Nines,16-Jun-22,3752,106
Oby Sorrel,New Zealand,Raspberry Choco,13-May-22,3780,106
Dennison Crosswaite,USA,Drinking Coco,10-May-22,3822,107
Oby Sorrel,India,Eclairs,25-Aug-22,3836,107
Ches Bonnell,New Zealand,Organic Choco Syrup,15-Jul-22,3836,107
Gigi Bohling,UK,Baker's Choco Chips,16-May-22,3843,108
Jan Morforth,Australia,50% Dark Bites,14-Jun-22,3857,108
Beverie Moffet,Australia,Smooth Sliky Salty,25-Jan-22,3864,108
Ches Bonnell,USA,Organic Choco Syrup,28-Jul-22,3906,109
Brien Boise,Canada,Mint Chip Choco,28-Jan-22,3948,109
Kaine Padly,UK,Orange Choco,29-Jun-22,3955,109
Karlen McCaffrey,Australia,70% Dark Bites,24-Jun-22,3969,109
Gunar Cockshoot,Canada,Mint Chip Choco,1-Jul-22,3990,109
Roddy Speechley,USA,Peanut Butter Cubes,25-Feb-22,3990,109
Curtice Advani,Canada,Smooth Sliky Salty,1-Aug-22,3990,110
Oby Sorrel,Australia,Milk Bars,21-Jun-22,3997,110
Camilla Castle,New Zealand,Spicy Special Slims,25-Jan-22,4018,111
Gigi Bohling,UK,Milk Bars,17-May-22,4025,111
Andria Kimpton,Australia,85% Dark Bars,23-Aug-22,4032,111
Camilla Castle,Australia,Smooth Sliky Salty,3-Mar-22,4046,111
Roddy Speechley,India,Caramel Stuffed Bars,30-May-22,4046,112
Karlen McCaffrey,USA,Drinking Coco,29-Jun-22,4053,112
Andria Kimpton,Canada,Organic Choco Syrup,4-Jan-22,4067,112
Jehu Rudeforth,Australia,Drinking Coco,14-Jan-22,4067,112
Karlen McCaffrey,USA,Mint Chip Choco,15-Feb-22,4074,112
Curtice Advani,New Zealand,Spicy Special Slims,10-Jan-22,4102,113
Madelene Upcott,USA,White Choc,4-May-22,4109,113
Andria Kimpton,USA,Spicy Special Slims,23-May-22,4116,113
Barr Faughny,New Zealand,Fruit & Nut Bars,26-Apr-22,4137,114
Oby Sorrel,Canada,Organic Choco Syrup,5-Jul-22,4151,114
Madelene Upcott,UK,Organic Choco Syrup,21-Jul-22,4158,114
Dotty Strutley,USA,Mint Chip Choco,21-Feb-22,4179,114
Kelci Walkden,USA,Orange Choco,3-Feb-22,4186,115
Gigi Bohling,Australia,Caramel Stuffed Bars,8-Jul-22,4193,115
Mallorie Waber,India,50% Dark Bites,31-May-22,4200,116
Van Tuxwell,New Zealand,Mint Chip Choco,27-Jun-22,4214,116
Van Tuxwell,India,50% Dark Bites,13-May-22,4221,116
Van Tuxwell,USA,Manuka Honey Choco,31-May-22,4221,117
Wilone O'Kielt,USA,Orange Choco,28-Feb-22,4256,117
Barr Faughny,New Zealand,Eclairs,28-Mar-22,4263,117
Gigi Bohling,USA,After Nines,14-Jan-22,4263,118
Barr Faughny,New Zealand,Mint Chip Choco,21-Feb-22,4270,118
Dennison Crosswaite,Canada,85% Dark Bars,1-Aug-22,4284,118
Beverie Moffet,New Zealand,Smooth Sliky Salty,19-May-22,4291,118
Husein Augar,USA,White Choc,13-Jul-22,4312,118
Andria Kimpton,Australia,Peanut Butter Cubes,20-Apr-22,4326,118
Dennison Crosswaite,India,85% Dark Bars,30-Jun-22,4326,119
Curtice Advani,UK,50% Dark Bites,8-Mar-22,4333,119
Gunar Cockshoot,USA,Fruit & Nut Bars,9-Mar-22,4340,120
Oby Sorrel,Canada,Raspberry Choco,16-Jun-22,4340,120
Gigi Bohling,UK,Drinking Coco,30-Jun-22,4347,120
Kelci Walkden,India,Mint Chip Choco,28-Jul-22,4361,121
Karlen McCaffrey,Canada,Peanut Butter Cubes,12-Aug-22,4361,121
Barr Faughny,UK,Mint Chip Choco,7-Jul-22,4361,121
Barr Faughny,USA,85% Dark Bars,25-Aug-22,4361,121
Husein Augar,Canada,Eclairs,17-Jan-22,4382,121
Jan Morforth,Australia,70% Dark Bites,4-Mar-22,4382,122
Marney O'Breen,New Zealand,Fruit & Nut Bars,25-Aug-22,4389,122
Ches Bonnell,UK,Peanut Butter Cubes,15-Apr-22,4389,122
Kaine Padly,USA,Organic Choco Syrup,11-Mar-22,4396,123
Camilla Castle,USA,Raspberry Choco,20-May-22,4403,124
Brien Boise,New Zealand,Manuka Honey Choco,14-Jun-22,4403,125
Jehu Rudeforth,New Zealand,After Nines,14-Apr-22,4410,125
Jehu Rudeforth,USA,Smooth Sliky Salty,7-Jul-22,4438,125
Madelene Upcott,India,Mint Chip Choco,24-Aug-22,4466,125
Jehu Rudeforth,India,Eclairs,24-Feb-22,4466,125
Karlen McCaffrey,Canada,Raspberry Choco,9-May-22,4494,125
Kaine Padly,Australia,70% Dark Bites,8-Feb-22,4494,125
Roddy Speechley,UK,70% Dark Bites,24-Mar-22,4501,125
Rafaelita Blaksland,USA,Drinking Coco,20-Jun-22,4501,126
Mallorie Waber,Canada,Manuka Honey Choco,7-Mar-22,4515,126
Kaine Padly,Australia,Fruit & Nut Bars,20-Jun-22,4515,126
Oby Sorrel,New Zealand,Organic Choco Syrup,17-Feb-22,4515,126
Madelene Upcott,UK,99% Dark & Pure,26-Jan-22,4522,126
Madelene Upcott,Australia,Mint Chip Choco,2-May-22,4550,126
Curtice Advani,Canada,99% Dark & Pure,7-Jul-22,4557,127
Rafaelita Blaksland,Australia,Baker's Choco Chips,22-Aug-22,4571,127
Karlen McCaffrey,Australia,After Nines,11-Aug-22,4571,128
Marney O'Breen,UK,99% Dark & Pure,13-Jan-22,4571,128
Gunar Cockshoot,Australia,50% Dark Bites,2-Mar-22,4592,128
Marney O'Breen,Australia,Choco Coated Almonds,27-Jul-22,4599,128
Kelci Walkden,New Zealand,Drinking Coco,10-Mar-22,4606,129
Beverie Moffet,USA,85% Dark Bars,23-Aug-22,4627,129
Roddy Speechley,USA,Eclairs,25-Apr-22,4641,129
Dennison Crosswaite,UK,Milk Bars,7-Mar-22,4669,130
Wilone O'Kielt,UK,Organic Choco Syrup,12-Jul-22,4676,130
Madelene Upcott,USA,Orange Choco,16-May-22,4690,130
Gunar Cockshoot,India,Smooth Sliky Salty,2-Mar-22,4697,130
Marney O'Breen,New Zealand,85% Dark Bars,30-May-22,4704,130
Marney O'Breen,UK,Manuka Honey Choco,10-Jun-22,4704,131
Brien Boise,USA,99% Dark & Pure,25-Jul-22,4725,131
Beverie Moffet,New Zealand,Mint Chip Choco,9-Jun-22,4739,131
Dennison Crosswaite,USA,Milk Bars,12-May-22,4746,132
Gunar Cockshoot,USA,Drinking Coco,9-May-22,4753,133
Brien Boise,Canada,Manuka Honey Choco,9-Aug-22,4753,133
Van Tuxwell,India,Choco Coated Almonds,13-Apr-22,4753,133
Andria Kimpton,USA,Caramel Stuffed Bars,2-May-22,4760,133
Dotty Strutley,USA,99% Dark & Pure,9-Aug-22,4781,133
Camilla Castle,Australia,Raspberry Choco,23-Aug-22,4781,134
Gunar Cockshoot,India,Spicy Special Slims,13-May-22,4781,134
Karlen McCaffrey,USA,Manuka Honey Choco,1-Feb-22,4795,134
Camilla Castle,USA,50% Dark Bites,23-Jun-22,4802,134
Madelene Upcott,UK,Choco Coated Almonds,24-May-22,4816,134
Jan Morforth,Canada,Mint Chip Choco,1-Apr-22,4830,134
Camilla Castle,Canada,70% Dark Bites,27-Jul-22,4844,134
Ches Bonnell,India,Peanut Butter Cubes,27-Jan-22,4844,135
Jan Morforth,India,Choco Coated Almonds,12-Aug-22,4858,135
Gigi Bohling,Canada,Almond Choco,1-Feb-22,4858,135
Rafaelita Blaksland,India,After Nines,2-Mar-22,4865,135
Kelci Walkden,Australia,99% Dark & Pure,30-Jun-22,4872,135
Dotty Strutley,Australia,Spicy Special Slims,17-Jan-22,4879,135
Brien Boise,USA,Milk Bars,7-Jul-22,4879,135
Mallorie Waber,New Zealand,Mint Chip Choco,31-Jan-22,4900,135
Beverie Moffet,UK,99% Dark & Pure,10-Aug-22,4914,136
Beverie Moffet,USA,Peanut Butter Cubes,18-Aug-22,4935,136
Brien Boise,New Zealand,White Choc,15-Jun-22,4935,136
Marney O'Breen,USA,Baker's Choco Chips,26-Jan-22,4935,136
Kelci Walkden,USA,Spicy Special Slims,29-Apr-22,4956,136
Mallorie Waber,Canada,White Choc,3-Mar-22,4977,137
Kaine Padly,Australia,Almond Choco,22-Feb-22,4991,137
Oby Sorrel,USA,Smooth Sliky Salty,4-Mar-22,5012,137
Dennison Crosswaite,India,Smooth Sliky Salty,7-Jul-22,5012,137
Camilla Castle,New Zealand,Caramel Stuffed Bars,17-Jun-22,5012,137
Jan Morforth,Canada,Caramel Stuffed Bars,2-Aug-22,5033,137
Oby Sorrel,USA,Baker's Choco Chips,12-Aug-22,5061,138
Madelene Upcott,New Zealand,Peanut Butter Cubes,28-Jan-22,5075,138
Kelci Walkden,Australia,Orange Choco,29-Apr-22,5075,138
Marney O'Breen,Australia,Manuka Honey Choco,5-Apr-22,5096,138
Kaine Padly,Canada,Manuka Honey Choco,18-Jan-22,5103,138
Jehu Rudeforth,UK,Baker's Choco Chips,16-May-22,5103,138
Kelci Walkden,Australia,White Choc,24-Aug-22,5124,138
Curtice Advani,India,85% Dark Bars,18-Jan-22,5131,139
Kaine Padly,USA,Eclairs,22-Aug-22,5152,139
Gunar Cockshoot,UK,99% Dark & Pure,7-Mar-22,5173,139
Beverie Moffet,UK,Choco Coated Almonds,4-Mar-22,5180,140
Dotty Strutley,Canada,Manuka Honey Choco,22-Apr-22,5187,140
Kaine Padly,Australia,Milk Bars,9-Jun-22,5194,140
Jan Morforth,Canada,Fruit & Nut Bars,25-Jul-22,5222,140
Jan Morforth,India,Smooth Sliky Salty,3-Aug-22,5229,140
Rafaelita Blaksland,Australia,Manuka Honey Choco,3-Aug-22,5243,141
Jehu Rudeforth,UK,Milk Bars,3-May-22,5250,141
Husein Augar,Canada,After Nines,19-Jan-22,5250,141
Roddy Speechley,USA,50% Dark Bites,11-Feb-22,5271,142
Van Tuxwell,India,Almond Choco,14-Jun-22,5292,142
Kelci Walkden,USA,50% Dark Bites,23-Mar-22,5292,142
Madelene Upcott,Canada,85% Dark Bars,17-Feb-22,5299,142
Dennison Crosswaite,Canada,Smooth Sliky Salty,17-Mar-22,5313,142
Mallorie Waber,Australia,Spicy Special Slims,29-Jun-22,5320,142
Ches Bonnell,Canada,Choco Coated Almonds,24-Aug-22,5327,142
Gigi Bohling,Canada,Spicy Special Slims,4-Jul-22,5334,144
Roddy Speechley,New Zealand,Almond Choco,28-Mar-22,5334,144
Curtice Advani,India,Smooth Sliky Salty,19-Apr-22,5376,145
Ches Bonnell,New Zealand,Mint Chip Choco,18-Jan-22,5397,145
Van Tuxwell,New Zealand,Fruit & Nut Bars,17-Jan-22,5404,145
Andria Kimpton,New Zealand,Mint Chip Choco,15-Feb-22,5425,145
Andria Kimpton,UK,Milk Bars,11-Feb-22,5439,145
Camilla Castle,USA,Manuka Honey Choco,21-Mar-22,5446,145
Gunar Cockshoot,New Zealand,Almond Choco,5-Jan-22,5446,146
Brien Boise,India,Raspberry Choco,30-May-22,5460,146
Jehu Rudeforth,USA,99% Dark & Pure,4-Jan-22,5460,146
Beverie Moffet,Australia,Fruit & Nut Bars,22-Apr-22,5474,146
Gigi Bohling,Canada,Milk Bars,10-Feb-22,5474,147
Dotty Strutley,India,Spicy Special Slims,12-Aug-22,5481,147
Gunar Cockshoot,USA,Organic Choco Syrup,10-Aug-22,5502,147
Kelci Walkden,Australia,Raspberry Choco,7-Jun-22,5502,148
Jehu Rudeforth,India,Baker's Choco Chips,6-Jun-22,5509,148
Karlen McCaffrey,New Zealand,Baker's Choco Chips,5-Apr-22,5509,149
Wilone O'Kielt,USA,50% Dark Bites,18-Apr-22,5523,149
Andria Kimpton,India,50% Dark Bites,31-Jan-22,5558,149
Madelene Upcott,USA,Baker's Choco Chips,22-Aug-22,5565,149
Jehu Rudeforth,Australia,99% Dark & Pure,25-Feb-22,5579,149
Jan Morforth,Australia,Mint Chip Choco,22-Feb-22,5593,149
Oby Sorrel,New Zealand,Milk Bars,12-Jan-22,5600,150
Brien Boise,UK,Almond Choco,25-May-22,5614,150
Kelci Walkden,India,Smooth Sliky Salty,1-Feb-22,5621,150
Rafaelita Blaksland,UK,Eclairs,27-Apr-22,5642,151
Gigi Bohling,USA,Smooth Sliky Salty,22-Jul-22,5663,151
Curtice Advani,New Zealand,Mint Chip Choco,26-Jan-22,5663,151
Curtice Advani,USA,Mint Chip Choco,24-Aug-22,5670,151
Madelene Upcott,New Zealand,Fruit & Nut Bars,18-Jan-22,5677,151
Karlen McCaffrey,India,85% Dark Bars,30-Mar-22,5684,151
Ches Bonnell,Australia,Caramel Stuffed Bars,17-Jan-22,5691,151
Kelci Walkden,USA,Fruit & Nut Bars,17-Feb-22,5691,152
Kelci Walkden,Canada,Peanut Butter Cubes,8-Apr-22,5691,153
Gigi Bohling,Canada,Drinking Coco,6-Jul-22,5691,153
Husein Augar,India,Fruit & Nut Bars,4-Apr-22,5705,154
Jan Morforth,New Zealand,Organic Choco Syrup,2-Mar-22,5733,154
Gigi Bohling,New Zealand,Raspberry Choco,9-Aug-22,5733,154
Dennison Crosswaite,Australia,Milk Bars,9-Jun-22,5740,154
Ches Bonnell,UK,Caramel Stuffed Bars,2-Jun-22,5747,154
Van Tuxwell,USA,Fruit & Nut Bars,5-Jul-22,5754,155
Andria Kimpton,Canada,Eclairs,11-Aug-22,5768,155
Madelene Upcott,India,Choco Coated Almonds,11-Feb-22,5768,155
Kelci Walkden,New Zealand,Spicy Special Slims,11-Aug-22,5775,156
Roddy Speechley,Australia,Drinking Coco,12-May-22,5775,156
Wilone O'Kielt,USA,Milk Bars,15-Jul-22,5782,156
Andria Kimpton,India,Organic Choco Syrup,18-Jan-22,5782,156
Madelene Upcott,UK,Fruit & Nut Bars,5-Jan-22,5796,157
Curtice Advani,Australia,50% Dark Bites,29-Jun-22,5803,157
Brien Boise,Canada,Raspberry Choco,14-Jun-22,5810,157
Gunar Cockshoot,India,Mint Chip Choco,8-Aug-22,5845,157
Dennison Crosswaite,India,Mint Chip Choco,23-Mar-22,5845,157
Barr Faughny,India,Caramel Stuffed Bars,4-Jan-22,5852,157
Brien Boise,India,Milk Bars,22-Feb-22,5859,157
Beverie Moffet,UK,Spicy Special Slims,17-Feb-22,5859,158
Barr Faughny,USA,Almond Choco,3-Feb-22,5873,158
Van Tuxwell,Canada,Raspberry Choco,17-Mar-22,5887,158
Wilone O'Kielt,Australia,Baker's Choco Chips,25-Jan-22,5894,158
Brien Boise,Australia,Milk Bars,27-Jul-22,5908,158
Husein Augar,Australia,Fruit & Nut Bars,28-Jan-22,5929,159
Madelene Upcott,Australia,Organic Choco Syrup,5-Jul-22,5936,159
Van Tuxwell,India,White Choc,15-Mar-22,5964,159
Gunar Cockshoot,Canada,After Nines,4-Aug-22,5978,160
Jan Morforth,USA,Fruit & Nut Bars,27-Jun-22,6013,160
Jan Morforth,Canada,After Nines,13-Jul-22,6020,160
Barr Faughny,New Zealand,Manuka Honey Choco,24-Feb-22,6034,162
Karlen McCaffrey,New Zealand,85% Dark Bars,28-Jun-22,6048,163
Oby Sorrel,Australia,85% Dark Bars,30-Jun-22,6055,163
Curtice Advani,Canada,Choco Coated Almonds,18-Aug-22,6055,163
Kaine Padly,India,70% Dark Bites,24-Jan-22,6055,163
Beverie Moffet,USA,White Choc,11-Mar-22,6069,164
Ches Bonnell,New Zealand,After Nines,23-Jun-22,6069,164
Husein Augar,India,Spicy Special Slims,22-Aug-22,6090,164
Gunar Cockshoot,Canada,50% Dark Bites,4-Jan-22,6111,164
Curtice Advani,India,Milk Bars,5-Apr-22,6139,165
Beverie Moffet,India,Milk Bars,15-Apr-22,6167,166
Husein Augar,Australia,White Choc,11-May-22,6181,166
Andria Kimpton,Canada,Manuka Honey Choco,21-Jul-22,6188,166
Jan Morforth,New Zealand,Orange Choco,11-Feb-22,6188,167
Andria Kimpton,Canada,Smooth Sliky Salty,8-Jul-22,6223,167
Gunar Cockshoot,UK,Raspberry Choco,11-Aug-22,6223,167
Husein Augar,New Zealand,After Nines,4-Aug-22,6237,167
Andria Kimpton,New Zealand,Orange Choco,14-Jun-22,6237,167
Dennison Crosswaite,UK,Baker's Choco Chips,17-Jan-22,6272,168
Jehu Rudeforth,Canada,Orange Choco,23-Jun-22,6279,168
Jehu Rudeforth,UK,Smooth Sliky Salty,24-Aug-22,6307,168
Andria Kimpton,UK,Caramel Stuffed Bars,7-Jun-22,6321,169
Jan Morforth,UK,White Choc,22-Jun-22,6328,169
Dotty Strutley,USA,Fruit & Nut Bars,13-Jul-22,6328,170
Kelci Walkden,UK,Choco Coated Almonds,24-May-22,6328,170
Gunar Cockshoot,New Zealand,After Nines,9-Aug-22,6342,170
Kaine Padly,Canada,85% Dark Bars,6-Apr-22,6342,170
Jan Morforth,New Zealand,Manuka Honey Choco,28-Jul-22,6384,170
Gunar Cockshoot,New Zealand,Raspberry Choco,24-Aug-22,6426,171
Van Tuxwell,Australia,99% Dark & Pure,17-Jan-22,6426,171
Curtice Advani,USA,Drinking Coco,7-Feb-22,6433,172
Brien Boise,Australia,Spicy Special Slims,9-May-22,6440,172
Mallorie Waber,New Zealand,85% Dark Bars,6-Jun-22,6440,172
Wilone O'Kielt,USA,Choco Coated Almonds,6-Jun-22,6454,172
Beverie Moffet,New Zealand,Organic Choco Syrup,24-May-22,6454,172
Gunar Cockshoot,UK,50% Dark Bites,13-Jan-22,6454,173
Marney O'Breen,USA,Raspberry Choco,23-May-22,6454,173
Jehu Rudeforth,UK,White Choc,29-Jun-22,6468,173
Jehu Rudeforth,New Zealand,85% Dark Bars,11-Mar-22,6468,174
Dotty Strutley,USA,85% Dark Bars,25-Apr-22,6475,174
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30-May-22,6489,174
Curtice Advani,India,Manuka Honey Choco,23-May-22,6496,175
Mallorie Waber,USA,Peanut Butter Cubes,23-May-22,6510,175
Van Tuxwell,Canada,Peanut Butter Cubes,24-Jun-22,6510,175
Kelci Walkden,New Zealand,Smooth Sliky Salty,11-Mar-22,6524,175
Rafaelita Blaksland,USA,Smooth Sliky Salty,27-Jul-22,6524,176
Rafaelita Blaksland,USA,White Choc,16-Aug-22,6538,176
Roddy Speechley,Canada,Smooth Sliky Salty,7-Mar-22,6559,176
Curtice Advani,New Zealand,After Nines,5-Apr-22,6559,176
Camilla Castle,India,85% Dark Bars,4-May-22,6566,176
Ches Bonnell,USA,Choco Coated Almonds,4-Jan-22,6587,177
Marney O'Breen,Australia,Baker's Choco Chips,13-Jan-22,6594,178
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11-Jul-22,6615,178
Kaine Padly,Australia,Mint Chip Choco,17-May-22,6657,178
Camilla Castle,New Zealand,Peanut Butter Cubes,21-Jul-22,6678,178
Curtice Advani,Canada,Organic Choco Syrup,22-Feb-22,6678,178
Jan Morforth,India,99% Dark & Pure,23-May-22,6678,179
Rafaelita Blaksland,Canada,Drinking Coco,12-Jul-22,6706,179
Jan Morforth,UK,Orange Choco,15-Jun-22,6713,179
Barr Faughny,New Zealand,50% Dark Bites,23-Jun-22,6713,179
Curtice Advani,Australia,Eclairs,25-Mar-22,6762,180
Jan Morforth,India,Caramel Stuffed Bars,4-Jul-22,6769,180
Andria Kimpton,UK,White Choc,12-May-22,6776,180
Camilla Castle,New Zealand,Raspberry Choco,4-Apr-22,6790,181
Madelene Upcott,Australia,Orange Choco,15-Apr-22,6790,181
Roddy Speechley,Canada,Eclairs,8-Mar-22,6790,181
Karlen McCaffrey,India,White Choc,17-Jan-22,6797,181
Wilone O'Kielt,India,Mint Chip Choco,22-Aug-22,6811,181
Andria Kimpton,UK,99% Dark & Pure,25-Jul-22,6818,182
Marney O'Breen,UK,50% Dark Bites,14-Jun-22,6832,182
Ches Bonnell,India,Choco Coated Almonds,5-Apr-22,6832,182
Madelene Upcott,UK,Raspberry Choco,26-Aug-22,6832,183
Wilone O'Kielt,Australia,50% Dark Bites,3-Aug-22,6839,183
Gigi Bohling,Canada,White Choc,11-Jul-22,6839,183
Wilone O'Kielt,New Zealand,Eclairs,11-Mar-22,6867,184
Brien Boise,UK,Peanut Butter Cubes,10-Jan-22,6881,184
Roddy Speechley,UK,Baker's Choco Chips,4-Apr-22,6888,184
Karlen McCaffrey,Australia,50% Dark Bites,17-Jan-22,6888,185
Marney O'Breen,New Zealand,Organic Choco Syrup,8-Jul-22,6916,185
Jan Morforth,UK,Organic Choco Syrup,12-Apr-22,6916,186
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24-Aug-22,6916,187
Ches Bonnell,UK,Choco Coated Almonds,7-Jun-22,6930,187
Gunar Cockshoot,Canada,Almond Choco,28-Jul-22,6944,187
Husein Augar,USA,99% Dark & Pure,21-Feb-22,6965,187
Dennison Crosswaite,Canada,Mint Chip Choco,8-Apr-22,6972,188
Brien Boise,UK,Manuka Honey Choco,28-Jun-22,6979,188
Van Tuxwell,UK,Baker's Choco Chips,24-Mar-22,6979,188
Barr Faughny,Australia,Caramel Stuffed Bars,29-Jul-22,6986,189
Dennison Crosswaite,USA,Eclairs,25-May-22,6993,189
Gigi Bohling,Australia,Raspberry Choco,30-Mar-22,7007,190
Dennison Crosswaite,USA,Organic Choco Syrup,18-Jul-22,7014,191
Beverie Moffet,Canada,Orange Choco,10-May-22,7042,194
Mallorie Waber,Australia,Choco Coated Almonds,18-Mar-22,7063,194
Ches Bonnell,India,Caramel Stuffed Bars,15-Jun-22,7077,194
Van Tuxwell,Canada,50% Dark Bites,12-May-22,7091,194
Kelci Walkden,New Zealand,Baker's Choco Chips,23-Jun-22,7119,195
Beverie Moffet,India,Spicy Special Slims,21-Apr-22,7126,195
Gigi Bohling,Australia,Almond Choco,17-Aug-22,7133,195
Rafaelita Blaksland,New Zealand,Eclairs,7-Feb-22,7140,196
Kelci Walkden,Canada,Smooth Sliky Salty,17-Mar-22,7154,196
Jan Morforth,India,Baker's Choco Chips,1-Aug-22,7154,197
Jehu Rudeforth,Australia,Milk Bars,18-Mar-22,7154,198
Gigi Bohling,Canada,Fruit & Nut Bars,14-Jun-22,7161,198
Beverie Moffet,UK,Eclairs,22-Apr-22,7175,199
Marney O'Breen,New Zealand,Eclairs,18-Jan-22,7182,200
Husein Augar,Australia,99% Dark & Pure,26-Aug-22,7196,200
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10-Jun-22,7203,200
Curtice Advani,Canada,70% Dark Bites,31-Jan-22,7231,200
Kelci Walkden,New Zealand,Manuka Honey Choco,8-Apr-22,7231,200
Dotty Strutley,Australia,Baker's Choco Chips,7-Jun-22,7238,201
Barr Faughny,Australia,85% Dark Bars,10-Feb-22,7252,201
Beverie Moffet,Australia,50% Dark Bites,16-May-22,7273,202
Gunar Cockshoot,India,Baker's Choco Chips,18-Mar-22,7287,202
Van Tuxwell,Australia,50% Dark Bites,13-Jul-22,7294,202
Oby Sorrel,USA,Manuka Honey Choco,25-Jul-22,7315,203
Van Tuxwell,Canada,Choco Coated Almonds,19-Aug-22,7350,203
Karlen McCaffrey,Canada,70% Dark Bites,24-Jun-22,7357,203
Kelci Walkden,Canada,Fruit & Nut Bars,20-Jun-22,7357,204
Camilla Castle,India,99% Dark & Pure,2-Aug-22,7364,204
Madelene Upcott,New Zealand,70% Dark Bites,22-Feb-22,7406,204
Mallorie Waber,New Zealand,Orange Choco,1-Feb-22,7413,204
Jan Morforth,Canada,70% Dark Bites,14-Feb-22,7413,205
Kelci Walkden,Australia,Milk Bars,24-Feb-22,7420,205
Dennison Crosswaite,India,Orange Choco,18-Mar-22,7434,205
Husein Augar,UK,Eclairs,30-Aug-22,7462,207
Gigi Bohling,USA,Peanut Butter Cubes,9-May-22,7483,207
Wilone O'Kielt,USA,Smooth Sliky Salty,18-Jan-22,7483,207
Curtice Advani,India,White Choc,4-Jul-22,7490,208
Oby Sorrel,New Zealand,Spicy Special Slims,3-Jun-22,7490,208
Beverie Moffet,New Zealand,Peanut Butter Cubes,23-Feb-22,7504,209
Dotty Strutley,New Zealand,99% Dark & Pure,9-May-22,7532,210
Kelci Walkden,India,70% Dark Bites,6-Jun-22,7532,211
Kelci Walkden,India,Drinking Coco,4-Jul-22,7560,211
Brien Boise,New Zealand,Drinking Coco,6-Jun-22,7588,211
Dotty Strutley,Australia,Almond Choco,13-May-22,7595,212
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31-Jan-22,7602,212
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30-Jun-22,7602,212
Barr Faughny,Canada,Manuka Honey Choco,25-Aug-22,7609,212
Gigi Bohling,New Zealand,Smooth Sliky Salty,10-Jan-22,7623,213
Brien Boise,USA,Manuka Honey Choco,22-Aug-22,7623,213
Roddy Speechley,New Zealand,85% Dark Bars,14-Apr-22,7672,214
Oby Sorrel,UK,Smooth Sliky Salty,31-May-22,7672,215
Oby Sorrel,UK,Raspberry Choco,8-Apr-22,7714,216
Roddy Speechley,USA,Drinking Coco,21-Feb-22,7714,216
Andria Kimpton,Australia,Manuka Honey Choco,30-Mar-22,7714,216
Mallorie Waber,India,Raspberry Choco,2-Mar-22,7714,216
Jehu Rudeforth,USA,Orange Choco,28-Jul-22,7721,217
Kaine Padly,New Zealand,70% Dark Bites,24-Mar-22,7728,218
Curtice Advani,Australia,After Nines,11-Aug-22,7742,219
Husein Augar,UK,Almond Choco,17-May-22,7756,220
Kaine Padly,Canada,Choco Coated Almonds,18-May-22,7756,222
